id_a,name_a,id_b,name_b,a_rank,b_rank,a_slug,b_slug,a_hpi,b_hpi
antony-van-leeuwenhoek,"Antony van Leeuwenhoek",antonie-van-leeuwenhoek,"Antonie van Leeuwenhoek",36,81.9,,Antonie_van_Leeuwenhoek,,787
antony-van-leeuwenhoek,"Antony van Leeuwenhoek",anton-van-leeuwenhoek,"Anton van Leeuwenhoek",36,239.5,,,,
rene-descartes,"Rene Descartes",ren-descartes,"René Descartes",41.2,64.1,,René_Descartes,,57
sigmund-freud,"Sigmund Freud",sigismund-freud,"Sigismund Freud",70,110,Sigmund_Freud,,76,
antonie-van-leeuwenhoek,"Antonie van Leeuwenhoek",anton-van-leeuwenhoek,"Anton van Leeuwenhoek",81.9,239.5,Antonie_van_Leeuwenhoek,,787,
niccolo-machiavelli,"Niccolo Machiavelli",niccol-machiavelli,"Niccolò Machiavelli",89,226.3,,Niccolò_Machiavelli,,97
nicolas-copernicus,"Nicolas Copernicus",nicolaus-copernicus,"Nicolaus Copernicus",95,113.7,,Nicolaus_Copernicus,,31
john-calvin,"John Calvin",jean-calvin,"Jean Calvin",114.1,195.3,John_Calvin,,402,
wright-brothers,"Wright Brothers",the-wright-brothers,"The Wright Brothers",120.7,234.3,,,,
